Alabama,0.04,0.04,0.00,0.04,0.04,0.04
Alaska,0.00,0.00,0.00,0.00,0.00,0.00
Arizona,0.00,0.06,0.00,0.06,0.06,0.06
Arkansas,0.07,0.07,0.00,0.07,0.07,0.00
California,0.00,0.07,0.00,0.07,0.07,0.00
Colorado,0.00,0.03,0.00,0.03,0.03,0.03
Connecticut,0.00,0.06,0.00,0.00,0.06,0.06
Delaware,0.00,0.00,0.00,0.00,0.00,0.00
District of Columbia,0.00,0.06,0.00,0.00,0.06,0.06
Florida,0.00,0.06,0.00,0.06,0.06,0.00
Georgia,0.04,0.04,0.00,0.04,0.04,0.00
Guam,0.04,0.04,0.04,0.04,0.04
Hawaii,0.04,0.04,0.04,0.04,0.04,0.04
Idaho,0.06,0.06,0.00,0.06,0.06,0.06
Illinois,0.06,0.06,0.06,0.06,0.06,0.00
Indiana,0.00,0.07,0.00,0.07,0.07,0.07
Iowa,0.00,0.06,0.00,0.06,0.06,0.00
Kansas,0.07,0.07,0.07,0.07,0.07,0.00
Kentucky,0.00,0.06,0.00,0.06,0.06,0.06
Louisiana,0.04,0.04,0.04,0.04,0.04,0.04
Maine,0.00,0.06,0.00,0.06,0.06,0.06
Maryland,0.00,0.06,0.00,0.06,0.06,0.06
Massachusetts,0.00,0.06,0.00,0.06,0.06,0.00
Michigan,0.00,0.06,0.00,0.06,0.06,0.00
Minnesota,0.00,0.07,0.00,0.07,0.00,0.07
Mississippi,0.07,0.07,0.07,0.07,0.07,0.07
Missouri,0.04,0.04,0.04,0.04,0.04,0.00
Montana,0.00,0.00,0.00,0.00,0.00,0.00
Nebraska,0.00,0.06,0.06,0.06,0.06,0.06
Nevada,0.00,0.07,0.00,0.07,0.07,0.00
New Hampshire,0.00,0.00,0.00,0.00,0.00,0.00
New Jersey,0.00,0.07,0.00,0.00,0.00,0.07
New Mexico,0.00,0.05,0.05,0.05,0.05,0.05
New York,0.00,0.04,0.00,0.00,0.04,0.00
North Carolina,0.05,0.05,0.00,0.05,0.05,0.05
North Dakota ,0.00,0.05,0.05,0.05,0.05,0.00
Ohio,0.00,0.06,0.00,0.06,0.06,0.06
Oklahoma,0.05,0.05,0.05,0.05,0.05,0.00
Oregon,0.00,0.00,0.00,0.00,0.00,0.00
Pennsylvania,0.00,0.06,0.00,0.00,0.00,0.06
Puerto Rico,0.11,0.11,0.00,0.11,0.11
Rhode Island,0.00,0.07,0.00,0.07,0.07,0.00
South Carolina,0.00,0.06,0.00,0.06,0.06,0.00
South Dakota,0.04,0.04,0.04,0.04,0.04,0.04
Tennessee,0.07,0.07,0.07,0.07,0.07,0.07
Texas,0.00,0.06,0.00,0.00,0.06,0.06
Utah,0.06,0.06,0.00,0.06,0.06,0.06
Vermont,0.00,0.06,0.00,0.00,0.00,0.06
Virginia,0.05,0.05,0.00,0.00,0.05,0.00
Washington,0.00,0.07,0.00,0.07,0.07,0.07
West Virginia,0.00,0.06,0.00,0.06,0.06,0.00
Wisconsin,0.00,0.05,0.00,0.05,0.05,0.05
Wyoming,0.00,0.04,0.00,0.04,0.04,0.04